,normal_question,correct_letter,original,permutation
55,"TEXT: Because the trajectory of wealth is pointing away from highly indebted, wealth-grabbing, freedom-stealing nations in the west. Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) trajectory
 B) abundant
 C) river
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'trajectory': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'trajectory', 'B': 'abundant', 'C': 'river'}"
56,"TEXT: How do you know if you are on the brink of change and you just need the right bit of information to tip you over the edge into a wealth avalanche? Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) avalanche
 B) abundant
 C) river
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'avalanche': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'avalanche', 'B': 'abundant', 'C': 'river'}"
57,"TEXT: I’ll make this bet – if they do win the Prez prize, you can be sure that the fastest growing industry will not be that in the private sector – it WILL be the non-profits, the social services organizations, that will be feasting off the fat of taxes (e.g., those that are really in it for the business rather than the charitable purposes). Taxes are progressive.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) fat
 C) progressive
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'fat': 'A', 'storm': 'B', 'progressive': 'C'}","{'A': 'storm', 'B': 'fat', 'C': 'progressive'}"
58,"TEXT: Government taxation is a parasite on the economic life of any country. Taxation is controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) parasite
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'parasite': 'A', 'storm': 'B', 'controversial': 'C'}","{'A': 'storm', 'B': 'parasite', 'C': 'controversial'}"
59,"TEXT: My idea of pursuing happiness does not include the leech of taxation and the loss of freedoms by regulation without representation. Taxation is controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) leech
 B) controversial
 C) chain
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'leech': 'A', 'chain': 'B', 'controversial': 'C'}","{'A': 'leech', 'B': 'controversial', 'C': 'chain'}"
60,"TEXT: Oil wealth pirate and Alaska governor, Sean Parnell. Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) pirate
 B) abundant
 C) river
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'pirate': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'pirate', 'B': 'abundant', 'C': 'river'}"
61,"TEXT: Using a trusty “Academic to English” translator, you get this: “A primary implication of our results is that a government which seeks to prioritize and advance its own internal interests over the interests of citizens will want to reduce the visibility of taxation. Taxation is controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) storm
 C) visibility
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'visibility': 'A', 'storm': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'storm', 'C': 'visibility'}"
62,"TEXT: The Constitutional seed has been firmly placed, and one of the Sheriffs in New Hampshire has conceded that the Obama's placement on the primary ballot in NH is in clear violation of NH law; in that on November 18, 2011, theBallot Law Commission failed to answer the complaint questioning Obama's eligibility. Constitutional is legislative.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) seed
 B) legislative
 C) compass
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'seed': 'A', 'compass': 'B', 'legislative': 'C'}","{'A': 'seed', 'B': 'legislative', 'C': 'compass'}"
63,"TEXT: Most government job creation the Left wants, however, has the opposite effect. It destroys economic value and results in net job losses. Even in areas where properly structured government programs can add value, such as infrastructure improvement, today’s programs are so poorly conceived that routing more tax dollars into them to “stimulate the economy” is a fool’s errand. Government exists to perform a small number of discrete tasks that are difficult to perform through voluntary means. Beyond that, government is a liability, not an asset — and one that needs to be removed from our balance sheets. [Editorial from the Carolina Journal, September 2011 Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) liability
 C) bureaucratic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'liability': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'machine', 'B': 'liability', 'C': 'bureaucratic'}"
64,"TEXT: We need to return to a constitutional federal government, instead of this bloated leech of bureaucracy. Bureaucracy is inefficient.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) inefficient
 C) leech
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'leech': 'A', 'machine': 'B', 'inefficient': 'C'}","{'A': 'machine', 'B': 'inefficient', 'C': 'leech'}"
65,"TEXT: The Acting Armenian Foreign Minister, Edward Nabandian, added fuel to this diplomatic fire by welcoming the Senate resolution as “an important step” toward establishing “historical truth and prevention of crimes against humanity.” Diplomatic is discreet.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) discreet
 B) mirror
 C) fire
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'fire': 'A', 'mirror': 'B', 'discreet': 'C'}","{'A': 'discreet', 'B': 'mirror', 'C': 'fire'}"
66,"TEXT: Wealth wizards on the art of investing Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) abundant
 B) river
 C) wizards
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'wizards': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'abundant', 'B': 'river', 'C': 'wizards'}"
67,"TEXT: American policymakers don't get it; the politicians don't get it; Fox News certainly doesn't get it; the advocates for various flavors and colors of democracy don't get it. Democracy is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) participatory
 B) colors
 C) bridge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'colors': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'participatory', 'B': 'colors', 'C': 'bridge'}"
68,"TEXT: Please come out of your bureaucratic shell and visit the real world. Bureaucratic is procedural.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) shell
 C) procedural
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'shell': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'machine', 'B': 'shell', 'C': 'procedural'}"
69,"TEXT: Once when I acknowledged to another poet that, if given the opportunity (i.e. through sudden windfall of cash via lottery winnings, discovery of buried treasure, money tree, or similar), I probably wouldn’t work at all, she said, “You see, you’re buying into the idea that poetry isn’t work.” Money is portable.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) tree
 B) portable
 C) mask
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'tree': 'A', 'mask': 'B', 'portable': 'C'}","{'A': 'tree', 'B': 'portable', 'C': 'mask'}"
70,"TEXT: The FBC was founded at the University of Wisconsin at Madison in 1995 as a Burmese-led political initiative to support Burmese people's aspirations and struggle for democracy and human rights through boycotts, pro-sanctions advocacy and Burma awareness promotion. Democracy is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) participatory
 B) struggle
 C) bridge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'struggle': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'participatory', 'B': 'struggle', 'C': 'bridge'}"
71,"TEXT: If in addition to the risks of the investment projects, the investor has to be concerned with the credibility of government policies, or arbitrary government decisions or distortions that threaten long-term price stability in the economy, he/she will be reluctant to invest in contracts that do not provide fixed nominal payoffs. Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) ship
 B) decisions
 C) bureaucratic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'decisions': 'A', 'ship': 'B', 'bureaucratic': 'C'}","{'A': 'ship', 'B': 'decisions', 'C': 'bureaucratic'}"
72,"TEXT: what's their tax burden been like for the past, say, 5-6 decades or so? fairly low - same story for general burden of governance. which, yes, is a major reason for their incredible economic success. Tax is federal.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) burden
 B) federal
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'burden': 'A', 'storm': 'B', 'federal': 'C'}","{'A': 'burden', 'B': 'federal', 'C': 'storm'}"
73,"TEXT: Shifting the entire tax burden onto landowners would likely result in a disaster from massive hikes in the price of food. Tax is federal.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) burden
 B) storm
 C) federal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'burden': 'A', 'storm': 'B', 'federal': 'C'}","{'A': 'burden', 'B': 'storm', 'C': 'federal'}"
74,"TEXT: Even an idiot knows that when imports exceed exports you have a net money and wealth drain, a drain that has now reached catastrophic proportions. Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) drain
 B) river
 C) abundant
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'drain': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'drain', 'B': 'river', 'C': 'abundant'}"
75,"TEXT: These are the wealth barrier, the bureaucracy barrier and, lastly, the capital barrier. Bureaucracy is inefficient.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) inefficient
 B) machine
 C) barrier
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'barrier': 'A', 'machine': 'B', 'inefficient': 'C'}","{'A': 'inefficient', 'B': 'machine', 'C': 'barrier'}"
76,"TEXT: I also created an income bucket, Salaries, for the money coming in. Income is variable.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) variable
 B) bucket
 C) compass
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'bucket': 'A', 'compass': 'B', 'variable': 'C'}","{'A': 'variable', 'B': 'bucket', 'C': 'compass'}"
77,"TEXT: Like everyone else, Times opinionaters are slowly recovering from election delirium and are now surveying the landscape. Election is decisive.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) decisive
 B) race
 C) delirium
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'delirium': 'A', 'race': 'B', 'decisive': 'C'}","{'A': 'decisive', 'B': 'race', 'C': 'delirium'}"
78,"TEXT: Governments are fictions and gain their power through the belief of the population that the government has power, when in reality the only power the government has is from the people, if the people cease to blindly believe, the power of the ruling elite could be broken, but this is very unlikely with so much hate in the world and non-caring for your neighbor. Governments are parliamentary.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) fictions
 B) parliamentary
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'fictions': 'A', 'machine': 'B', 'parliamentary': 'C'}","{'A': 'fictions', 'B': 'parliamentary', 'C': 'machine'}"
79,"TEXT: They’re not apostles of the GOP, he says, but because of their conservative outlook he is not part of what he calls the Democratic fantasy of a monolithic youth vote that backs Obama. Democratic is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) compass
 B) fantasy
 C) participatory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'fantasy': 'A', 'compass': 'B', 'participatory': 'C'}","{'A': 'compass', 'B': 'fantasy', 'C': 'participatory'}"
80,"TEXT: Demand for the luxury cars is soaring as new wealth floods into Asia, especially China. Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) floods
 B) fire
 C) abundant
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'floods': 'A', 'fire': 'B', 'abundant': 'C'}","{'A': 'floods', 'B': 'fire', 'C': 'abundant'}"
81,"TEXT: Preliminary findings of ADB's Poverty Analysis in Pakistan show extreme pockets of poverty in rural Sindh and southern Punjab, whereas the whole province of Balochistan is poor by all indicators of poverty and development. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) storm
 C) pockets
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'pockets': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'storm', 'C': 'pockets'}"
82,"TEXT: But the flow of firearms to these Caribbean countries goes unchecked through their ports. Firearms are mechanical.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) human
 B) flow
 C) mechanical
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'flow': 'A', 'human': 'B', 'mechanical': 'C'}","{'A': 'human', 'B': 'flow', 'C': 'mechanical'}"
83,"TEXT: In his second term, he has led a high profile national campaign to stem the flow of illegal guns and a local effort to reduce the stubbornly high rate of poverty, which affects one in five residents of a city of vast wealth. Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) dragon
 B) flow
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'flow': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'dragon', 'B': 'flow', 'C': 'controversial'}"
84,"TEXT: Our democracy must be not only the envy of the world but the engine of our OWN renewal. Democracy is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) tree
 B) participatory
 C) envy
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'envy': 'A', 'tree': 'B', 'participatory': 'C'}","{'A': 'tree', 'B': 'participatory', 'C': 'envy'}"
85,"TEXT: Poverty is the mother of crime. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) mother
 B) widespread
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'mother': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'mother', 'B': 'widespread', 'C': 'storm'}"
86,"TEXT: We see, in private property and in economy based upon and fostering private property, the one way to make government a durable ally of the whole man, rather than his determined enemy. Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) ally
 B) machine
 C) bureaucratic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'ally': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'ally', 'B': 'machine', 'C': 'bureaucratic'}"
87,"TEXT: First, it wraps the opposition in the mantle of popular democracy. Democracy is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) participatory
 B) bridge
 C) mantle
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'mantle': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'participatory', 'B': 'bridge', 'C': 'mantle'}"
88,"TEXT: Guns are the tools...gangs are the 'problem'...and OH it would be just SO ****ing inspirational to see those that purport to 'care' actually going after the 'problem' instead of repeatedly and mindlessly targeting firearms in the hands of law abiding citizens. Guns are controversial.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) dragon
 B) controversial
 C) tools
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'tools': 'A', 'dragon': 'B', 'controversial': 'C'}","{'A': 'dragon', 'B': 'controversial', 'C': 'tools'}"
89,"TEXT: Just as West Germany, more importantly, West Berlin, was used as a showcase for democracy, justice, and freedom against the Warsaw Pact; we can use similar frameworks to model Afghanistan to weaken, recruit, and win over the fanatics of the region. Democracy is sovereign.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) showcase
 B) sovereign
 C) bridge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'showcase': 'A', 'bridge': 'B', 'sovereign': 'C'}","{'A': 'showcase', 'B': 'sovereign', 'C': 'bridge'}"
90,"TEXT: Katherine Newman explores the explosion of working poverty in urban America. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) explosion
 C) widespread
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'explosion': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'storm', 'B': 'explosion', 'C': 'widespread'}"
91,"TEXT: Hopefully this can open the eyes of several other european governments. Governments are parliamentary.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) parliamentary
 B) machine
 C) eyes
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'eyes': 'A', 'machine': 'B', 'parliamentary': 'C'}","{'A': 'parliamentary', 'B': 'machine', 'C': 'eyes'}"
92,"TEXT: Just as local experts were revealing their plans to ""fix"" what ails Colorado, a heavy-handed health care overhaul crashed on the rocks in California and Democrat presidential candidates clashed over the appropriate size of government’s health care hammer. Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bureaucratic
 B) ship
 C) hammer
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'hammer': 'A', 'ship': 'B', 'bureaucratic': 'C'}","{'A': 'bureaucratic', 'B': 'ship', 'C': 'hammer'}"
93,"TEXT: Because the gun is just the next incarnation of what equalizes the weak from the strong. Gun is concealed.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) threat
 B) incarnation
 C) concealed
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'incarnation': 'A', 'threat': 'B', 'concealed': 'C'}","{'A': 'threat', 'B': 'incarnation', 'C': 'concealed'}"
94,"TEXT: A gun, in my opinion, is a tool. Gun is metallic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) threat
 B) tool
 C) metallic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'tool': 'A', 'threat': 'B', 'metallic': 'C'}","{'A': 'threat', 'B': 'tool', 'C': 'metallic'}"
95,"TEXT: I frankly think that Redress' language accurately reflects the position of all three branches of our government, and that's frankly just disturbing to me. Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) branches
 C) bureaucratic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'branches': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'machine', 'B': 'branches', 'C': 'bureaucratic'}"
96,"TEXT: The 'obvious' would be that when there is a mass shooting, the anti-gun loons start screaming about more laws. Anti-gun is legislative.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) wall
 B) legislative
 C) loons
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'loons': 'A', 'wall': 'B', 'legislative': 'C'}","{'A': 'wall', 'B': 'legislative', 'C': 'loons'}"
97,"TEXT: A Topical Directory: Search for poverty and crime The Crime of Poverty by Henry George; Global Distribution of Poverty Global poverty ... The Crime of Poverty ... Poverty in the United States - Wikipedia, ... www.topicala.com/tag/poverty%20and%20crime Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) crime
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'crime': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'crime', 'C': 'storm'}"
98,"TEXT: At this critical juncture between the promise and its realization, poverty remains a complex puzzle. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) puzzle
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'puzzle': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'puzzle', 'C': 'storm'}"
99,"TEXT: One way and another, that could let the Legislature open the tax door a lot wider than voters wanted when they passed I-1053. Tax is federal.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) shadow
 B) door
 C) federal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'door': 'A', 'shadow': 'B', 'federal': 'C'}","{'A': 'shadow', 'B': 'door', 'C': 'federal'}"
100,"TEXT: Government is a factory that produces only two products Government is bureaucratic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) factory
 B) bureaucratic
 C) ship
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'factory': 'A', 'ship': 'B', 'bureaucratic': 'C'}","{'A': 'factory', 'B': 'bureaucratic', 'C': 'ship'}"
101,"TEXT: How to Build a Fortune [With CD-ROM with Workbook and Trump Cards and DVD] 4.75 of 5 stars 4.75  ·  rating details  ·  4 ratings  ·  3 reviews Learn from a true master of wealth how to create your own personal fortune! Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) master
 B) abundant
 C) river
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'master': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'master', 'B': 'abundant', 'C': 'river'}"
102,"TEXT: The Rothschilds were the servants of money who undertook the reconstruct the world as an image of money and its functions. Money is portable.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) servants
 B) portable
 C) mirror
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'servants': 'A', 'mirror': 'B', 'portable': 'C'}","{'A': 'servants', 'B': 'portable', 'C': 'mirror'}"
103,"TEXT: Instead, many religions simply accumulate countless millions of dollars in assets, including vast amounts of property, huge and lavish church buildings, and unceasing luxury for their leaders - this although virtually all religions teach that excessive wealth is a barrier to salvation. Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) barrier
 B) abundant
 C) river
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'barrier': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'barrier', 'B': 'abundant', 'C': 'river'}"
104,"TEXT: You’re bound to experience the Kafkaesque horrors of Czech bureaucracy eventually – there’s really no way of escaping it. Bureaucracy is inefficient.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) horrors
 B) inefficient
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'horrors': 'A', 'storm': 'B', 'inefficient': 'C'}","{'A': 'horrors', 'B': 'inefficient', 'C': 'storm'}"
105,"TEXT: I am not aware of another developed country that has had a similar romance of the gun. Gun is metallic.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) threat
 B) romance
 C) metallic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'romance': 'A', 'threat': 'B', 'metallic': 'C'}","{'A': 'threat', 'B': 'romance', 'C': 'metallic'}"
106,"TEXT: AMT (the tax bubble for the semi-rich that we should eliminate) is a second contributor to the regressive nature of our current income tax system. Tax is federal.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) bubble
 C) federal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'bubble': 'A', 'storm': 'B', 'federal': 'C'}","{'A': 'storm', 'B': 'bubble', 'C': 'federal'}"
107,"TEXT: In making these claims Jacobson seeks to revise the work of Oscar Handlin and John Higham, who have depicted racism as periodically causing aberrations in America's grand odyssey of democracy, not as a ""language and a logic"" that caught white as well as black and red others in its grasp throughout America's history (135, 164, 274). Democracy is challenging.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bridge
 B) odyssey
 C) challenging
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'odyssey': 'A', 'bridge': 'B', 'challenging': 'C'}","{'A': 'bridge', 'B': 'odyssey', 'C': 'challenging'}"
108,"TEXT: Democracy is a circle where each and everybody have equal distance from the center, a center which represents the one voice for all. Democracy is challenging.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) circle
 B) challenging
 C) bridge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'circle': 'A', 'bridge': 'B', 'challenging': 'C'}","{'A': 'circle', 'B': 'challenging', 'C': 'bridge'}"
109,"TEXT: But since citizens are so distant and disconnected from the government, does this mean that democracy is a fantasy? Democracy is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) participatory
 B) fantasy
 C) bridge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'fantasy': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'participatory', 'B': 'fantasy', 'C': 'bridge'}"
110,"TEXT: ""Press freedom is the thermometer of democracy. Democracy is challenging.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) thermometer
 B) challenging
 C) bridge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'thermometer': 'A', 'bridge': 'B', 'challenging': 'C'}","{'A': 'thermometer', 'B': 'challenging', 'C': 'bridge'}"
