,Unnamed: 0,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,Unnamed: 6,target,third note,literal expression suggestion 2,verbose literal expression,notes,Unnamed: 12,pos,source_pos
49,49,"America succeeds not because of our government, but in spite of it.","Without the blueprint of the Constitution and the Bill of Rights, our government would be more invasive in our lives than it already is.
      ",blueprint,rights,n,0.0,rules,,system,rules,,,"[('Without', 'ADP'), ('the', 'DET'), ('blueprint', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('Constitution', 'PROPN'), ('and', 'CCONJ'), ('the', 'DET'), ('Bill', 'PROPN'), ('of', 'ADP'), ('Rights', 'PROPN'), (',', 'PUNCT'), ('our', 'PRON'), ('government', 'NOUN'), ('would', 'AUX'), ('be', 'AUX'), ('more', 'ADV'), ('invasive', 'ADJ'), ('in', 'ADP'), ('our', 'PRON'), ('lives', 'NOUN'), ('than', 'SCONJ'), ('it', 'PRON'), ('already', 'ADV'), ('is', 'AUX'), ('\r\n      ', 'SPACE')]",NOUN
50,50,[EMPTY],"They’re hell bent on returning America to their vision of the Wild West, which isn’t the gun haven they imagine it was.
    ",haven,place,y,1.0,place,,location,"favorable place, favorable location",,,"[('They', 'PRON'), ('’re', 'VERB'), ('hell', 'ADV'), ('bent', 'ADJ'), ('on', 'ADP'), ('returning', 'VERB'), ('America', 'PROPN'), ('to', 'ADP'), ('their', 'PRON'), ('vision', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('Wild', 'PROPN'), ('West', 'PROPN'), (',', 'PUNCT'), ('which', 'PRON'), ('is', 'AUX'), ('n’t', 'PART'), ('the', 'DET'), ('gun', 'NOUN'), ('haven', 'NOUN'), ('they', 'PRON'), ('imagine', 'VERB'), ('it', 'PRON'), ('was', 'AUX'), ('\r\n    ', 'SPACE')]",NOUN
51,51,Violent criminals such as Billy the Kid and John Dillinger became celebrated and in some quarters even admired.,"I am not aware of another developed country that has had a similar romance of the gun.
      ",romance,fascination,y,1.0,fascination,,idealization,,,,"[('I', 'PRON'), ('am', 'AUX'), ('not', 'PART'), ('aware', 'ADJ'), ('of', 'ADP'), ('another', 'DET'), ('developed', 'VERB'), ('country', 'NOUN'), ('that', 'PRON'), ('has', 'AUX'), ('had', 'VERB'), ('a', 'DET'), ('similar', 'ADJ'), ('romance', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('gun', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
52,52,"Societies where women are more equal stand a greater chance of eliminating poverty, starting with reducing it by half by 2015.","At this critical juncture between the promise and its realization, poverty remains a complex puzzle.
      ",puzzle,problem,y,1.0,problem,,,,,,"[('At', 'ADP'), ('this', 'DET'), ('critical', 'ADJ'), ('juncture', 'NOUN'), ('between', 'ADP'), ('the', 'DET'), ('promise', 'NOUN'), ('and', 'CCONJ'), ('its', 'PRON'), ('realization', 'NOUN'), (',', 'PUNCT'), ('poverty', 'NOUN'), ('remains', 'VERB'), ('a', 'DET'), ('complex', 'ADJ'), ('puzzle', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
53,53,"Lex Luthor, readers will recall, was the power-hungry business magnate of immense wealth who served as Superman’s foil in all those comics and movies.","The power craving madman of wealth has been a staple for movies of all sorts, in fact.
      ",madman,not metaphorical,n,0.0,bad person,,villain,,,,"[('The', 'DET'), ('power', 'NOUN'), ('craving', 'VERB'), ('madman', 'NOUN'), ('of', 'ADP'), ('wealth', 'NOUN'), ('has', 'AUX'), ('been', 'AUX'), ('a', 'DET'), ('staple', 'NOUN'), ('for', 'ADP'), ('movies', 'NOUN'), ('of', 'ADP'), ('all', 'DET'), ('sorts', 'NOUN'), (',', 'PUNCT'), ('in', 'ADP'), ('fact', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
54,54,"Does it happen, sure.","But the cost of gun proliferation in America is far higher then the security it provides.
      ",proliferation,increase,y,1.0,increase,,,,,,"[('But', 'CCONJ'), ('the', 'DET'), ('cost', 'NOUN'), ('of', 'ADP'), ('gun', 'NOUN'), ('proliferation', 'NOUN'), ('in', 'ADP'), ('America', 'PROPN'), ('is', 'AUX'), ('far', 'ADV'), ('higher', 'ADJ'), ('then', 'ADV'), ('the', 'DET'), ('security', 'NOUN'), ('it', 'PRON'), ('provides', 'VERB'), ('\r\n      ', 'SPACE')]",NOUN
55,55,Member since:,"08-23-2010 I thoroughly detest the stupid fragility of guns in this game.
      ",fragility,unreliability,y,1.0,weakness,,weakness,,,,"[('08', 'NUM'), ('23', 'NUM'), ('2010', 'NUM'), ('I', 'PRON'), ('thoroughly', 'ADV'), ('detest', 'VERB'), ('the', 'DET'), ('stupid', 'ADJ'), ('fragility', 'NOUN'), ('of', 'ADP'), ('guns', 'NOUN'), ('in', 'ADP'), ('this', 'DET'), ('game', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
56,56,[EMPTY],"Preview of the 2014 Salvation Army Team Crest featuring the Beggar's team moto ""You""ll Never Beg Alone"".
    ",team,not metaphorical,n,0.0,group,not that metaphorical,group,,,,"[('Preview', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('2014', 'NUM'), ('Salvation', 'PROPN'), ('Army', 'PROPN'), ('Team', 'PROPN'), ('Crest', 'PROPN'), ('featuring', 'VERB'), ('the', 'DET'), ('Beggar', 'PROPN'), (""'s"", 'PART'), ('team', 'NOUN'), ('moto', 'NOUN'), ('""', 'PUNCT'), ('You""ll', 'PROPN'), ('Never', 'ADV'), ('Beg', 'PROPN'), ('Alone', 'PROPN'), ('""', 'PUNCT'), ('\r\n    ', 'SPACE')]",NOUN
57,57,"You sleep your guilt-free nights between your fresh sheets, while I work a second job to pay for my books, to have extra to send back.","You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
      ",well,situation,y,1.0,situation,,,"negative situation, detrimental situation, undesireable situation",,,"[('You', 'PRON'), ('do', 'AUX'), ('not', 'PART'), ('feel', 'VERB'), ('your', 'PRON'), ('family', 'NOUN'), ('clutching', 'VERB'), ('the', 'DET'), ('heels', 'NOUN'), ('of', 'ADP'), ('your', 'PRON'), ('feet', 'NOUN'), ('as', 'SCONJ'), ('you', 'PRON'), ('climb', 'VERB'), ('up', 'ADP'), ('the', 'DET'), ('ladder', 'NOUN'), (',', 'PUNCT'), ('out', 'ADP'), ('of', 'ADP'), ('the', 'DET'), ('well', 'NOUN'), ('of', 'ADP'), ('poverty', 'NOUN'), (',', 'PUNCT'), ('clinging', 'VERB'), ('and', 'CCONJ'), ('pushing', 'VERB'), ('away', 'ADV'), ('\r\n      ', 'SPACE')]",NOUN
58,58,[EMPTY],"Wisconsin Republican names notorious election thief to oversee the next election
    ",thief,cheater,y,1.0,cheater,,,,,,"[('Wisconsin', 'PROPN'), ('Republican', 'ADJ'), ('names', 'NOUN'), ('notorious', 'ADJ'), ('election', 'NOUN'), ('thief', 'NOUN'), ('to', 'PART'), ('oversee', 'VERB'), ('the', 'DET'), ('next', 'ADJ'), ('election', 'NOUN'), ('\r\n    ', 'SPACE')]",NOUN
59,59,Government operates under different rules because it is government.,"No, we can not agree that taxation is theft because it is not theft.
      ",theft,taxation,n,0.0,expropriation,,expropriation,unjust expropriation,,,"[('No', 'INTJ'), (',', 'PUNCT'), ('we', 'PRON'), ('can', 'AUX'), ('not', 'PART'), ('agree', 'VERB'), ('that', 'SCONJ'), ('taxation', 'NOUN'), ('is', 'AUX'), ('theft', 'NOUN'), ('because', 'SCONJ'), ('it', 'PRON'), ('is', 'AUX'), ('not', 'PART'), ('theft', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
60,60,[EMPTY],"The NRA brand is right up there with the strongest and most recognizable brands in the world. - See more at: http://go.nra.org/go-learn/welcome-to-nra-go.aspx#sthash.qDfw9A55.dpuf
    ",brand,not metaphorical,n,0.0,name,not that metaphorical,name,,,,"[('The', 'DET'), ('NRA', 'PROPN'), ('brand', 'NOUN'), ('is', 'AUX'), ('right', 'ADV'), ('up', 'ADV'), ('there', 'ADV'), ('with', 'ADP'), ('the', 'DET'), ('strongest', 'ADJ'), ('and', 'CCONJ'), ('most', 'ADV'), ('recognizable', 'ADJ'), ('brands', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('world', 'NOUN'), ('See', 'VERB'), ('more', 'ADJ'), ('at', 'ADP'), (':', 'PUNCT'), ('http://go.nra.org/go-learn/welcome-to-nra-go.aspx#sthash.qDfw9A55.dpuf', 'X'), ('\r\n    ', 'SPACE')]",NOUN
61,61,"""The Rothschilds introduced the rule of money into European politics.","The Rothschilds were the servants of money who undertook the reconstruct the world as an image of money and its functions.
      ",servants,obsession,n,0.0,obsession,,benefactors,,,,"[('The', 'DET'), ('Rothschilds', 'PROPN'), ('were', 'AUX'), ('the', 'DET'), ('servants', 'NOUN'), ('of', 'ADP'), ('money', 'NOUN'), ('who', 'PRON'), ('undertook', 'VERB'), ('the', 'DET'), ('reconstruct', 'NOUN'), ('the', 'DET'), ('world', 'NOUN'), ('as', 'ADP'), ('an', 'DET'), ('image', 'NOUN'), ('of', 'ADP'), ('money', 'NOUN'), ('and', 'CCONJ'), ('its', 'PRON'), ('functions', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
62,62,"; HENRY GEORGE ON THE SOCIAL REVOLUTION ... ... to an audience which filled the orchestra seats and half filled the seats in the balcony and dress circle, on the subject of "" The Crime of Poverty. ... query.nytimes.com/gst/abstract.html?res=F10A10F63F5B10738DDDAD0A94DA405B8584F0D3","A Topical Directory: Search for poverty and crime The Crime of Poverty by Henry George; Global Distribution of Poverty Global poverty ... The Crime of Poverty ... Poverty in the United States - Wikipedia, ... www.topicala.com/tag/poverty%20and%20crime
      ",crime,injustice,y,1.0,injustice,,,,,,"[('A', 'DET'), ('Topical', 'PROPN'), ('Directory', 'PROPN'), (':', 'PUNCT'), ('Search', 'NOUN'), ('for', 'ADP'), ('poverty', 'NOUN'), ('and', 'CCONJ'), ('crime', 'NOUN'), ('The', 'DET'), ('Crime', 'PROPN'), ('of', 'ADP'), ('Poverty', 'PROPN'), ('by', 'ADP'), ('Henry', 'PROPN'), ('George', 'PROPN'), (';', 'PUNCT'), ('Global', 'ADJ'), ('Distribution', 'PROPN'), ('of', 'ADP'), ('Poverty', 'PROPN'), ('Global', 'PROPN'), ('poverty', 'NOUN'), ('The', 'DET'), ('Crime', 'PROPN'), ('of', 'ADP'), ('Poverty', 'PROPN'), ('Poverty', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('United', 'PROPN'), ('States', 'PROPN'), ('Wikipedia', 'PROPN'), (',', 'PUNCT'), ('www.topicala.com/tag/poverty%20and%20crime', 'AUX'), ('\r\n      ', 'SPACE')]",NOUN
63,63,This is achieved by three main processes which combine to effectively deter democracy.,"These are the wealth barrier, the bureaucracy barrier and, lastly, the capital barrier.
      ",barrier,,n,0.0,difficulty,,difficulty,"hindrance, obstacle, problem",,,"[('These', 'PRON'), ('are', 'AUX'), ('the', 'DET'), ('wealth', 'NOUN'), ('barrier', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('bureaucracy', 'NOUN'), ('barrier', 'NOUN'), ('and', 'CCONJ'), (',', 'PUNCT'), ('lastly', 'ADV'), (',', 'PUNCT'), ('the', 'DET'), ('capital', 'NOUN'), ('barrier', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
64,64,The centre of world capitalism can afford to have a much bigger debt than you've currently got.,"Your problem is like ours - if the very rich hoover up all the money, how can the system work?
      ",hoover,increase,n,0.0,hoard,verb,take,hoard,,,"[('Your', 'PRON'), ('problem', 'NOUN'), ('is', 'AUX'), ('like', 'ADP'), ('ours', 'NOUN'), ('if', 'SCONJ'), ('the', 'DET'), ('very', 'ADV'), ('rich', 'ADJ'), ('hoover', 'NOUN'), ('up', 'ADP'), ('all', 'DET'), ('the', 'DET'), ('money', 'NOUN'), (',', 'PUNCT'), ('how', 'SCONJ'), ('can', 'AUX'), ('the', 'DET'), ('system', 'NOUN'), ('work', 'VERB'), ('?', 'PUNCT'), ('\r\n      ', 'SPACE')]",NOUN
65,65,2000.,"Katherine Newman explores the explosion of working poverty in urban America.
      ",explosion,growth,y,1.0,increase,,increase,large increase,,,"[('Katherine', 'PROPN'), ('Newman', 'PROPN'), ('explores', 'VERB'), ('the', 'DET'), ('explosion', 'NOUN'), ('of', 'ADP'), ('working', 'VERB'), ('poverty', 'NOUN'), ('in', 'ADP'), ('urban', 'PROPN'), ('America', 'PROPN'), ('\r\n      ', 'SPACE')]",NOUN
66,66,He thinks this won’t provoke an expensive lawsuit that the city will lose?,"The gun ordinance also addresses what police and others believe is a big reason for what they say is a flood of illegal guns into Chicago and why the city’s police officers seize more illegal guns than any police department in the United States: The sale of guns by so-called straw purchasers, who then transfer them to people who are not legally allowed to buy and possess firearms.
      ",flood,increase,y,1.0,increase,,,large increase,,,"[('The', 'DET'), ('gun', 'NOUN'), ('ordinance', 'NOUN'), ('also', 'ADV'), ('addresses', 'VERB'), ('what', 'PRON'), ('police', 'NOUN'), ('and', 'CCONJ'), ('others', 'NOUN'), ('believe', 'VERB'), ('is', 'AUX'), ('a', 'DET'), ('big', 'ADJ'), ('reason', 'NOUN'), ('for', 'ADP'), ('what', 'PRON'), ('they', 'PRON'), ('say', 'VERB'), ('is', 'AUX'), ('a', 'DET'), ('flood', 'NOUN'), ('of', 'ADP'), ('illegal', 'ADJ'), ('guns', 'NOUN'), ('into', 'ADP'), ('Chicago', 'PROPN'), ('and', 'CCONJ'), ('why', 'SCONJ'), ('the', 'DET'), ('city', 'NOUN'), ('’s', 'PART'), ('police', 'NOUN'), ('officers', 'NOUN'), ('seize', 'VERB'), ('more', 'ADV'), ('illegal', 'ADJ'), ('guns', 'NOUN'), ('than', 'ADP'), ('any', 'DET'), ('police', 'NOUN'), ('department', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('United', 'PROPN'), ('States', 'PROPN'), (':', 'PUNCT'), ('The', 'DET'), ('sale', 'NOUN'), ('of', 'ADP'), ('guns', 'NOUN'), ('by', 'ADP'), ('so', 'ADV'), ('called', 'VERB'), ('straw', 'NOUN'), ('purchasers', 'NOUN'), (',', 'PUNCT'), ('who', 'PRON'), ('then', 'ADV'), ('transfer', 'VERB'), ('them', 'PRON'), ('to', 'ADP'), ('people', 'NOUN'), ('who', 'PRON'), ('are', 'AUX'), ('not', 'PART'), ('legally', 'ADV'), ('allowed', 'VERB'), ('to', 'PART'), ('buy', 'VERB'), ('and', 'CCONJ'), ('possess', 'VERB'), ('firearms', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
67,67,And let's then ask: what makes a person ready for change?,"How do you know if you are on the brink of change and you just need the right bit of information to tip you over the edge into a wealth avalanche?
      ",avalanche,increase,y,1.0,increase,,,large increase,,,"[('How', 'SCONJ'), ('do', 'AUX'), ('you', 'PRON'), ('know', 'VERB'), ('if', 'SCONJ'), ('you', 'PRON'), ('are', 'AUX'), ('on', 'ADP'), ('the', 'DET'), ('brink', 'NOUN'), ('of', 'ADP'), ('change', 'NOUN'), ('and', 'CCONJ'), ('you', 'PRON'), ('just', 'ADV'), ('need', 'VERB'), ('the', 'DET'), ('right', 'ADJ'), ('bit', 'NOUN'), ('of', 'ADP'), ('information', 'NOUN'), ('to', 'PART'), ('tip', 'VERB'), ('you', 'PRON'), ('over', 'ADP'), ('the', 'DET'), ('edge', 'NOUN'), ('into', 'ADP'), ('a', 'DET'), ('wealth', 'NOUN'), ('avalanche', 'NOUN'), ('?', 'PUNCT'), ('\r\n      ', 'SPACE')]",NOUN
68,68,"Diplomatically, the Open Door asked the other great powers to maintain free trade in their zones of influence; culturally, the Open Door echoed the famous goals President McKinley set for colonial rule in the Philippines: “To uplift, civilize, and Christianize.”","The Open Door Raj assumed that when the doors were open and restraints removed, China would naturally follow the American path to democracy, prosperity and Christianity.
      ",path,process,y,1.0,process,,direction,,,,"[('The', 'DET'), ('Open', 'PROPN'), ('Door', 'PROPN'), ('Raj', 'PROPN'), ('assumed', 'VERB'), ('that', 'SCONJ'), ('when', 'SCONJ'), ('the', 'DET'), ('doors', 'NOUN'), ('were', 'AUX'), ('open', 'ADJ'), ('and', 'CCONJ'), ('restraints', 'NOUN'), ('removed', 'VERB'), (',', 'PUNCT'), ('China', 'PROPN'), ('would', 'AUX'), ('naturally', 'ADV'), ('follow', 'VERB'), ('the', 'DET'), ('American', 'ADJ'), ('path', 'NOUN'), ('to', 'ADP'), ('democracy', 'NOUN'), (',', 'PUNCT'), ('prosperity', 'NOUN'), ('and', 'CCONJ'), ('Christianity', 'PROPN'), ('\r\n      ', 'SPACE')]",NOUN
69,69,"You know like writing an article on this guy, rather then clarifying why you cherry picked issues on the debate, and addressing flat out lies you made (well not you but the author of said article)","I would add that the author goes on to write this after his other article on the ""top 10 gun myths"" is trounced and laughable filled with such lies like ""armed citizens"" have never stopped a mass shooting.
      ",myths,falsehoods,y,1.0,falsehoods,,untruths,lies,,,"[('I', 'PRON'), ('would', 'AUX'), ('add', 'VERB'), ('that', 'SCONJ'), ('the', 'DET'), ('author', 'NOUN'), ('goes', 'VERB'), ('on', 'ADP'), ('to', 'PART'), ('write', 'VERB'), ('this', 'PRON'), ('after', 'SCONJ'), ('his', 'PRON'), ('other', 'ADJ'), ('article', 'NOUN'), ('on', 'ADP'), ('the', 'DET'), ('""', 'PUNCT'), ('top', 'ADJ'), ('10', 'NUM'), ('gun', 'NOUN'), ('myths', 'NOUN'), ('""', 'PUNCT'), ('is', 'AUX'), ('trounced', 'VERB'), ('and', 'CCONJ'), ('laughable', 'ADJ'), ('filled', 'VERB'), ('with', 'ADP'), ('such', 'ADJ'), ('lies', 'NOUN'), ('like', 'ADP'), ('""', 'PUNCT'), ('armed', 'ADJ'), ('citizens', 'NOUN'), ('""', 'PUNCT'), ('have', 'AUX'), ('never', 'ADV'), ('stopped', 'VERB'), ('a', 'DET'), ('mass', 'ADJ'), ('shooting', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
70,70,He is surprised at just how much harm is done to workers when overseas manufacturers are boycotted.,"Timmerman's interviews with numerous factory workers make it clear that taking away their jobs is akin to creating a poverty tsunami.
      ",tsunami,increase,y,1.0,increase,,,large increase,,,"[('Timmerman', 'PROPN'), (""'s"", 'PART'), ('interviews', 'NOUN'), ('with', 'ADP'), ('numerous', 'ADJ'), ('factory', 'NOUN'), ('workers', 'NOUN'), ('make', 'VERB'), ('it', 'PRON'), ('clear', 'ADJ'), ('that', 'SCONJ'), ('taking', 'VERB'), ('away', 'ADV'), ('their', 'PRON'), ('jobs', 'NOUN'), ('is', 'AUX'), ('akin', 'ADJ'), ('to', 'ADP'), ('creating', 'VERB'), ('a', 'DET'), ('poverty', 'NOUN'), ('tsunami', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
71,71,Which part of “well-regulated” is ambiguous or hard to understand?,"So this myopic aversion of the NRA and fellow gun advocates to gun reform and background checks is baffling.
      ",aversion,opposition,y,1.0,opposition,,dislike,"strong dislike, strong opposition",,,"[('So', 'ADV'), ('this', 'DET'), ('myopic', 'ADJ'), ('aversion', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('NRA', 'PROPN'), ('and', 'CCONJ'), ('fellow', 'ADJ'), ('gun', 'NOUN'), ('advocates', 'VERB'), ('to', 'PART'), ('gun', 'VERB'), ('reform', 'NOUN'), ('and', 'CCONJ'), ('background', 'NOUN'), ('checks', 'NOUN'), ('is', 'AUX'), ('baffling', 'ADJ'), ('\r\n      ', 'SPACE')]",NOUN
72,72,[EMPTY],"Barack Obama has announced his intention to appoint current Bureau of Alcohol, Tobacco and Firearms and Explosives (ATF) Acting Director B. Todd Jones as permanent Director despite a bureaucratic tenure riddled with cover up, cronyism and outright intimidation of his subordinates
    ",tenure,not metaphorical,n,0.0,period,not that metaphorical,period,time,,,"[('Barack', 'PROPN'), ('Obama', 'PROPN'), ('has', 'AUX'), ('announced', 'VERB'), ('his', 'PRON'), ('intention', 'NOUN'), ('to', 'PART'), ('appoint', 'VERB'), ('current', 'ADJ'), ('Bureau', 'PROPN'), ('of', 'ADP'), ('Alcohol', 'PROPN'), (',', 'PUNCT'), ('Tobacco', 'PROPN'), ('and', 'CCONJ'), ('Firearms', 'PROPN'), ('and', 'CCONJ'), ('Explosives', 'PROPN'), ('ATF', 'PROPN'), ('Acting', 'PROPN'), ('Director', 'PROPN'), ('B.', 'PROPN'), ('Todd', 'PROPN'), ('Jones', 'PROPN'), ('as', 'ADP'), ('permanent', 'ADJ'), ('Director', 'PROPN'), ('despite', 'SCONJ'), ('a', 'DET'), ('bureaucratic', 'ADJ'), ('tenure', 'NOUN'), ('riddled', 'VERB'), ('with', 'ADP'), ('cover', 'NOUN'), ('up', 'ADP'), (',', 'PUNCT'), ('cronyism', 'NOUN'), ('and', 'CCONJ'), ('outright', 'ADJ'), ('intimidation', 'NOUN'), ('of', 'ADP'), ('his', 'PRON'), ('subordinates', 'NOUN'), ('\r\n    ', 'SPACE')]",NOUN
73,73,"The rapidity of this change has disrupted virtually every aspect of the lives of this ancient society, deeply rooted in the traditions of its rigid social structure.","The living conditions of most Mauritanians have worsened, and, more important, their vulnerability to poverty has increased and the threat of poverty loom persistently in the background.
      ",threat,possibility,y,1.0,possibility,,,"negative possibility, undesireable possibility",,,"[('The', 'DET'), ('living', 'NOUN'), ('conditions', 'NOUN'), ('of', 'ADP'), ('most', 'ADJ'), ('Mauritanians', 'PROPN'), ('have', 'AUX'), ('worsened', 'VERB'), (',', 'PUNCT'), ('and', 'CCONJ'), (',', 'PUNCT'), ('more', 'ADV'), ('important', 'ADJ'), (',', 'PUNCT'), ('their', 'PRON'), ('vulnerability', 'NOUN'), ('to', 'ADP'), ('poverty', 'NOUN'), ('has', 'AUX'), ('increased', 'VERB'), ('and', 'CCONJ'), ('the', 'DET'), ('threat', 'NOUN'), ('of', 'ADP'), ('poverty', 'NOUN'), ('loom', 'NOUN'), ('persistently', 'ADV'), ('in', 'ADP'), ('the', 'DET'), ('background', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
74,74,"From the e-newsletter on the affordable housing production and financing industry, State of the Market 35: The last-mile counterpart, by David Smith of Recap Market Advisors:","Government is a factory that produces only two products
      ",factory,system,y,1.0,system,,,,,,"[('Government', 'NOUN'), ('is', 'AUX'), ('a', 'DET'), ('factory', 'NOUN'), ('that', 'PRON'), ('produces', 'VERB'), ('only', 'ADV'), ('two', 'NUM'), ('products', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
75,75,What this means is that the future with Perry is the future of American poverty.,"Should he succeed, he's likely to bring this poverty propagation to Washington.
      ",propagation,spread,y,1.0,spread,,increase,,,,"[('Should', 'AUX'), ('he', 'PRON'), ('succeed', 'VERB'), (',', 'PUNCT'), ('he', 'PRON'), (""'s"", 'AUX'), ('likely', 'ADJ'), ('to', 'PART'), ('bring', 'VERB'), ('this', 'DET'), ('poverty', 'NOUN'), ('propagation', 'NOUN'), ('to', 'ADP'), ('Washington', 'PROPN'), ('\r\n      ', 'SPACE')]",NOUN
76,76,It’s gotten him where he is today.,"Oil wealth pirate and Alaska governor, Sean Parnell.
      ",pirate,thief,y,1.0,thief,,,,,,"[('Oil', 'NOUN'), ('wealth', 'NOUN'), ('pirate', 'NOUN'), ('and', 'CCONJ'), ('Alaska', 'PROPN'), ('governor', 'NOUN'), (',', 'PUNCT'), ('Sean', 'PROPN'), ('Parnell', 'PROPN'), ('\r\n      ', 'SPACE')]",NOUN
77,77,Let us embrace it.,"Our democracy must be not only the envy of the world but the engine of our OWN renewal.
      ",envy,example,y,1.0,ideal,,ideal,,,,"[('Our', 'PRON'), ('democracy', 'NOUN'), ('must', 'AUX'), ('be', 'AUX'), ('not', 'PART'), ('only', 'ADV'), ('the', 'DET'), ('envy', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('world', 'NOUN'), ('but', 'CCONJ'), ('the', 'DET'), ('engine', 'NOUN'), ('of', 'ADP'), ('our', 'PRON'), ('OWN', 'ADJ'), ('renewal', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
78,78,"His father, also named Vergel, is from Manila, Philippines.","They’re not apostles of the GOP, he says, but because of their conservative outlook he is not part of what he calls the Democratic fantasy of a monolithic youth vote that backs Obama.
      ",fantasy,illusion,n,0.0,desire,,desire,ideal desire,,,"[('They', 'PRON'), ('’re', 'VERB'), ('not', 'PART'), ('apostles', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('GOP', 'PROPN'), (',', 'PUNCT'), ('he', 'PRON'), ('says', 'VERB'), (',', 'PUNCT'), ('but', 'CCONJ'), ('because', 'SCONJ'), ('of', 'ADP'), ('their', 'PRON'), ('conservative', 'ADJ'), ('outlook', 'NOUN'), ('he', 'PRON'), ('is', 'AUX'), ('not', 'PART'), ('part', 'NOUN'), ('of', 'ADP'), ('what', 'PRON'), ('he', 'PRON'), ('calls', 'VERB'), ('the', 'DET'), ('Democratic', 'ADJ'), ('fantasy', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('monolithic', 'ADJ'), ('youth', 'NOUN'), ('vote', 'NOUN'), ('that', 'PRON'), ('backs', 'VERB'), ('Obama', 'PROPN'), ('\r\n      ', 'SPACE')]",NOUN
79,79,"Get used to it folks – if these two socialists get into office (ok, a bit harsh with Biden but I’m dead on with that Saul Alinsky devotee, Obama), their sense of charity will be sated with your money.","I’ll make this bet – if they do win the Prez prize, you can be sure that the fastest growing industry will not be that in the private sector – it WILL be the non-profits, the social services organizations, that will be feasting off the fat of taxes (e.g., those that are really in it for the business rather than the charitable purposes).
      ",fat,funding,y,1.0,excess,,excess,,,,"[('I', 'PRON'), ('’ll', 'AUX'), ('make', 'VERB'), ('this', 'DET'), ('bet', 'NOUN'), ('–', 'PUNCT'), ('if', 'SCONJ'), ('they', 'PRON'), ('do', 'AUX'), ('win', 'VERB'), ('the', 'DET'), ('Prez', 'PROPN'), ('prize', 'NOUN'), (',', 'PUNCT'), ('you', 'PRON'), ('can', 'AUX'), ('be', 'AUX'), ('sure', 'ADJ'), ('that', 'SCONJ'), ('the', 'DET'), ('fastest', 'ADJ'), ('growing', 'VERB'), ('industry', 'NOUN'), ('will', 'AUX'), ('not', 'PART'), ('be', 'AUX'), ('that', 'SCONJ'), ('in', 'ADP'), ('the', 'DET'), ('private', 'ADJ'), ('sector', 'NOUN'), ('–', 'PUNCT'), ('it', 'PRON'), ('WILL', 'AUX'), ('be', 'AUX'), ('the', 'DET'), ('non', 'NOUN'), ('profits', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('social', 'ADJ'), ('services', 'NOUN'), ('organizations', 'NOUN'), (',', 'PUNCT'), ('that', 'PRON'), ('will', 'AUX'), ('be', 'AUX'), ('feasting', 'VERB'), ('off', 'ADP'), ('the', 'DET'), ('fat', 'NOUN'), ('of', 'ADP'), ('taxes', 'NOUN'), ('e.g.', 'ADV'), (',', 'PUNCT'), ('those', 'PRON'), ('that', 'PRON'), ('are', 'AUX'), ('really', 'ADV'), ('in', 'ADP'), ('it', 'PRON'), ('for', 'ADP'), ('the', 'DET'), ('business', 'NOUN'), ('rather', 'ADV'), ('than', 'ADP'), ('the', 'DET'), ('charitable', 'ADJ'), ('purposes', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
80,80,Yet they have no compunction about robbing them.,"There is only one way to stop the tax hemorrhage.
      ",hemorrhage,loss,y,1.0,loss,,,,,,"[('There', 'PRON'), ('is', 'VERB'), ('only', 'ADV'), ('one', 'NUM'), ('way', 'NOUN'), ('to', 'PART'), ('stop', 'VERB'), ('the', 'DET'), ('tax', 'NOUN'), ('hemorrhage', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
