,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,,target,third note,literal expression suggestion 2,verbose literal expression,notes,
142,"Yet it must have taken great restraint for the White House propagandists to refrain from having George land on an aircraft carrier and give a short speech in front of a huge ""Mission Accomplished"" banner.","* Although it’s now being reported, most of the American public, distracted by the cheerleading, hasn’t noticed that despite the general falseness and blindness of the election, the Iraqis learned enough about who was representing what to give the leaders of our puppet government, led by Ayad Allawi, a thorough whupping.
      ",blindness,ignorance,y,1,unawareness,,unawareness,concealment,,
143,Various international journalism bodies were among observers at Tuesday's court hearing.,"""Press freedom is the thermometer of democracy.
      ",thermometer,aspect,n,0,indicator,,indicator,,,Corrected annotation to literal interpretation (but still n)
144,[EMPTY],"As a former felony prosecutor, I have seen the havoc of guns on the victim’s families, their community and even on the shooter’s family.
    ",havoc,I couldn't come up with a target.,n,0,harm,,harm,"harmful affect, negative affect",,
145,"He eventually became a disciple of Socrates, accepting his basic philosophy and dialectical style of debate, the pursuit of truth through questions, answers, and additional questions.","Plato witnessed the death of Socrates at the hands of the Athenian democracy in 399 BC.
      ",hands,authorities,y,1,authorities,,actions,control,,
146,"Assuming the malaria mortality estimate for Group 1 countries, scale-up of malaria interventions from 2% to 70% would reduce all-cause child mortality by 17.1%.","As above, the model does not produce a confidence interval or precision estimates; however, as an approximate measure of uncertainty, we entered the lower and upper bounds of the precision estimate for the malaria mortality burden from Group 1 countries (i.e., 19.8% and 24.9%) into the Jones and others model.
      ",burden,number,y,1,number,,,,,
147,Interesting choice of words.,"Once when I acknowledged to another poet that, if given the opportunity (i.e. through sudden windfall of cash via lottery winnings, discovery of buried treasure, money tree, or similar), I probably wouldn’t work at all, she said, “You see, you’re buying into the idea that poetry isn’t work.”
      ",tree,source,y,1,source,,,,,
148,"In my view, government is a tool we use to accomplish together what we are not capable of accomplishing on our own.","Like any tool, the tool of government can be used well or used poorly.آ  As someone working in government, I’m committed to using it well.
      ",tool,government,n,0,means,the tool is equal to government. Literal(?) replacement,means,,,Corrected annotation to literal interpretation (changed to n)
149,"Headlines read: “Veto This: Armed ‘Obama Robber’ hits Austria banks,” indicating that Barack’s rip-off reputation in the steal-and-spend category has now officially gone global.","Over the past two years, a fellow dubbed the “Obama Robber” has donned a disguise bearing Barack’s image and mimicked the world’s highest-ranking bureaucratic burglar while proceeding to empty the coffers of more than a few Austrian financial institutions.
      ",burglar,politician,n,0,"politician, people","politician might be too specific, and theif sounds metaphorical, and people might be too generic. ",thief,,,Corrected annotation to literal interpretation (changed to n)
150,"Not upset, just pointing out the obvious.","The 'obvious' would be that when there is a mass shooting, the anti-gun loons start screaming about more laws.
      ",loons,not metaphorical,n,0,people,,fools,,"Not metaphorical by ""crazy or foolish person"" definition. Metaphorical by ""type of bird"" definition.",
151,Their apparently insatiable hunger to remake the world in their own image blinds them to the arrogance of their quest.,"And their manipulation of rhetoric blinds taxpayers to the inappropriateness of both their means and ends.
      ",blinds,unawareness,n,0,deceives,verb,deceives,"tricks, misinforms",,
152,"And that's when I remembered a mini-scandal from last year that people seem to have forgotten: In September, Nicholas Kristof wrote in the New York Times, ""The American fleet confidently steamed off to war in the Persian Gulf recently--and promptly got creamed.","This was an elaborate war game, not the real thing, but it reminds us that an invasion of Iraq won't necessarily be a cakewalk.""
      ",cakewalk,easy task,y,1,easy task,,,,,Corrected annotation to literal interpretation (changed to y)
153,|,"December 10, 1996 The Teamsters union, which has filed a petition to represent Anne Arundel police officers and deputy sheriffs, is stuck in a bureaucratic turnstile that may ruin its chance of becoming the county's largest law enforcement bargaining unit.Since October, when more than 400 county police officers filed petition cards calling for a union vote, the Teamsters have been unable to arrange for elections.
      ",turnstile,bureaucracy,n,0,delay,,delay,,,Corrected annotation to literal interpretation (changed to n)
154,"As well, parallel to the genocidal and 1915 Armenian agenda, is a long festering inter-governmental dispute between Turkey and the sovereign state of Armenia over control of Nagorno-Karabakh region in the middle of Azerbaijan that has closed the border between the two countries since 1993.","The Acting Armenian Foreign Minister, Edward Nabandian, added fuel to this diplomatic fire by welcoming the Senate resolution as “an important step” toward establishing “historical truth and prevention of crimes against humanity.”
      ",fire,controversy,y,1,controversy,,,,,
155,"While the Clinton Administration has asked Congress to make an immediate payment of $100 million to the United Nations, it wants the remaining $900 million appropriated now but held back until 1999, when it has had time to judge the changes Mr. Annan makes.","The bureaucratic pruning the Secretary General has in mind clearly falls well short of the ''50 percent cut in the entire U.N. bureaucracy'' demanded last year by Senator Jesse Helms, the North Carolina Republican who is chairman of the Senate Foreign Relations Committee and the most powerful congressional critic of the United Nations.
      ",pruning,reduction,y,1,reduction,,,,,
156,by Julia Stewart,"Filed Under 24 Comments » Published: December 29, 2010 under Archived Featured Articles, Archived Guest Articles If you hired a wealth coach to help you build a seven-figure income by investing or starting a new business, would you expect to find yourself in bankruptcy court a year later, with your house on the auction block?
      ",coach,I couldn't come up with a target.,n,0,advisor,,advisor,,,
157,[EMPTY],"The Senate is poison.
    ",poison,partisanship causer,n,0,detrimental,,detrimental,,,Corrected annotation to literal interpretation (but still n)
158,"by Northern Observer آ» Thu Nov 08, 2012 3:14 am Underestimating poor people is always a bad bet.","If the Scotish and the Irish can raise themselves from the stupidity of poverty I see no reason why the circle arbitrairily closes at hispanics.
      ",stupidity,poverty,n,0,situation,,situation,pointless situation,"An equally valid nonmetaphorical reading is that the author is calling poor people (hispanics, Scottish/Irish in the past) as stupid. Probably the author intends both meanings",Corrected annotation to literal interpretation (changed to n)
159,"It is almost unthinkable that, despite such overwhelming public support, Congress continues to put the interests of the corporate gun lobby ahead of the safety of the American people and will not even vote on expanding background checks to online sales and gun shows.","It is time we come together and hold the NRA lapdogs accountable for the lives that are being lost every day because of their despicable behavior,” said Dan Gross, president of the Brady Campaign to Prevent Gun Violence.
      ",lapdogs,politicians,n,0,supporters,,supporters,,,Corrected annotation to literal interpretation (changed to n)
160,[EMPTY],"Thank you, Congress, for being the slave of the NRA- you cowardly, spineless, self serving sons of Satan.
    ",slave,acceptence of lobbying money,n,0,possession,,possession,,,Corrected annotation to literal interpretation (but still n)
161,"On Sunday, with the skies sunny and mostly clear, the oppressive heat that hung on all summer was finally gone and the cooler air of approaching autumn turned the nation's capital into a pleasant place.","Then Monday arrived and with it came an infestation of congressmen and women.
      ",infestation,visits,n,0,crowd,,crowd,,,Corrected annotation to literal interpretation (but still n)
162,"The US, Russia and EU need to help the UN against pressure from Iran, Pakistan, and Saudi Arabia over their former playground Afghanistan.","Just as West Germany, more importantly, West Berlin, was used as a showcase for democracy, justice, and freedom against the Warsaw Pact; we can use similar frameworks to model Afghanistan to weaken, recruit, and win over the fanatics of the region.
      ",showcase,ideal institutions,y,1,ideal institutions,,example,,,Corrected annotation to literal interpretation (changed to y)
163,Ron Paul has already offered interesting compromises on Socialist Security and the Federal Reserve that Nader should be open to discussing.,"There are good libertarian ideas that a global democracy nut like Gravel should find interesting such as jury nullification--if Gravel really wants to give power to ""the people""--but after hearing that interview with Scott Horton, Gravel just seemed too pig-headed to open his mind up to anything.
      ",nut,person,y,1,person,,enthusiast,,,Corrected annotation to literal interpretation (but still y)
164,"Also here are the seeds (or spores) of a strong reference to Deleuzean and Guattarian thinking; all of which (and more) Arditi briskly, concisely and adroitly elaborates, in a tightly structured interrogation of the key concepts of contemporary political thought: difference, populism, agitation and revolution.","The examples and case studies he places under the microscope range from the ancient to the modern, and from the popular to the unpopular faces of populism, as well as from classical to parliamentary to postmodern and cultural politics.
      ",faces,aspects,y,1,aspects,,examples,,,
165,Gun control flows entirely from racial hatred.,"It has nothing to do with the avalanche of firearms or the current epidemic of gun violence in our society.
      ",avalanche,number,y,1,quantity,,quantity,,,
166,"If he’s smoking a cigarette or walking a dog, suddenly he has a purpose.","Sitting on a sidewalk for hours is business of the homeless, so people go to beaches to sunbathe and loiter.
      ",business,activity,y,1,activity,,,,,
167,A joint publication of FAO's Economic and Social Department and Sustainable Development Department,"Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
      ",depth,severity,y,1,severity,,,,,
168,And now we are seeing the defects spending that goes along with liberals creating their own shadow world in the government.,"The fact remains that technology will be the death of government.
      ",death,end,y,1,end,,,,,
169,|,"0 comments BURLINGTON — Selling a project that relies entirely on sales tax to the largest tax generator in the county was a tough sell Thursday night.
      ",generator,source,y,1,source,,,,,
170,"In my opinion, a responsible mother or father would not allow guns in the house.","Guns are accidents waiting to happen.
      ",accidents,shootings,y,1,shootings,,problems,,,Corrected annotation to literal interpretation (changed to y)
171,"Romney lost the swing state votes by a scant 330,000 votes.","In Ohio Romney won 72 of 88 counties but lost due to a tsunami of votes in Democrat-controlled Cleveland
      ",tsunami,large number of votes,y,1,quantity,,quantity,,,
172,I would have thought that was very very clear. and I and most reject that nonsense.,"Is that most of your fellow gun worshippers?
      ",worshippers,I couldn't come up with a target.,n,0,enthusiasts,,enthusiasts,"admirers, devotees",,
173,[EMPTY],"In the best of the prophetic tradition they will stand in the gateway of government and in the portals of business, calling people to justice for the poor, for the broken and for the excluded.
    ",gateway,"the procedural entry points of governance like courts, congressional hearings, etc.",y,1,entrance,,entrance,entryway,,
174,How to Build a Fortune [With CD-ROM with Workbook and Trump Cards and DVD] by Donald Trump,"How to Build a Fortune [With CD-ROM with Workbook and Trump Cards and DVD] 4.75 of 5 stars 4.75  ·  rating details  ·  4 ratings  ·  3 reviews Learn from a true master of wealth how to create your own personal fortune!
      ",master,I couldn't come up with a target.,n,0,expert,,expert,,,
175,"COUNCIL just completed one of the most disappointing sessions on record, memorable more for the misconduct of its members than for any of its (lackluster) accomplishments.","So we hope the start of 2013 — with the addition of a promising at-large member and plans for an improved committee structure — will usher in a chapter of government in which the only ambitions that matter are those of a growing city.
      ",chapter,period or era,y,1,period or era,,,,,
176,[EMPTY],"Now the instruments of navigation of democracy are threefold, for democracy rests upon three simple facts : what a man thinks of himself, what a man thinks of others, and what a man thinks of God.
      ",navigation,democratic procedures,n,0,guidance,,guidance,management,,
177,It was my Bible for Teaching Practice and remains my number one resource when looking at community and poverty with my pupils.,"What is great about this resource is that it targets every possible area and route of poverty, rather than focusing on the traditional case studies of African poverty.
      ",route,aspect,n,0,cause,,cause,"timeline, sequence of events",,
178,"Jeremy Bentham, founder of Utilitarianism argued that democratic government rests on the idea of: ""the greatest good for the greatest number,"" rather than other popular ideas such as upholding social order or making the state strong.","There are many visions of democracy, and in America we are fortunate to have The Bill of rights together with The Constitution and the Declaration of Independence to create a strong impression of the voice of Democracy.
      ",voice,example,y,1,example,,,,,
179,[EMPTY],"Do you stand for the Republic for which it stands or the do we stand for the ravings of Democracy.
    ",ravings,ideas,y,1,incoherence,,incoherence,,,
180,[EMPTY],"Again the bewitched-line-of-thought has to strike someone, which made me realize that poverty is a malaise that makes people want more than is given to them.
    ",malaise,condition,y,1,condition of discomfort,a condition that causes a persistent sense of unease or dissatisfaction,,,,Corrected annotation to literal interpretation (changed to y)
181,"Those brilliant architechs of constitutional rights somehow forgot how important individual rights really were, and now are.","My idea of pursuing happiness does not include the leech of taxation and the loss of freedoms by regulation without representation.
      ",leech,taxation,n,0,detriment,,detriment,,,Corrected annotation to literal interpretation (changed to n)
182,"Sam took a rifle, I was satisfied with a pistol, one Beretta…","I’ve never been a maniac of guns, I’ve never shot to anyone, before… well… before this…”
      ",maniac,enthusiast,y,1,enthusiast,,,,,
183,"The status of women is society is neither a new issue nor is it a fully settled one, and where Islam is mentioned, for many the term 'Muslim Women' prompts images of exhausted mothers chained to the stove, 'victims' suppressed in a life of indoctrination, frantic to be westernised and so on.","Others will go to great lengths to explain how the hijab is an obstacle, clouding the mind, and comment that female converts are either brainwashed, stupid or traitors to their sex.
      ",obstacle,rights preventer,y,1,problem,,problem,,,Corrected annotation to literal interpretation (changed to y)
184,"Because of that, and because of the Legislature's lopsided responses to voter-approved tax measures in the past, we don't support Sen. Ed Murray's bill to repeal the two-thirds majority for any legislation that ""reduces, repeals, terminated, expires or otherwise modifies"" a tax break.","One way and another, that could let the Legislature open the tax door a lot wider than voters wanted when they passed I-1053.
      ",door,quantity of taxation,n,0,opportunity,,opportunity,possibility,,
185,"The economy takes a deadweight loss. When government performs its limited responsibilities well, it creates economic value — and net new jobs. For example, the adjudication of disputes and the protection of lives and property create a foundation for business confidence, investment, and job creation. When policymakers reform existing government programs to improve their effectiveness, or eliminate ineffective programs altogether, they also maximize economic value and, thus, create net new jobs.","Most government job creation the Left wants, however, has the opposite effect. It destroys economic value and results in net job losses. Even in areas where properly structured government programs can add value, such as infrastructure improvement, today’s programs are so poorly conceived that routing more tax dollars into them to “stimulate the economy” is a fool’s errand. Government exists to perform a small number of discrete tasks that are difficult to perform through voluntary means. Beyond that, government is a liability, not an asset — and one that needs to be removed from our balance sheets. [Editorial from the Carolina Journal, September 2011
      ",liability,economic growth reducer,y,1,problem,,problem,,,Corrected annotation to literal interpretation (changed to y)
186,[EMPTY],"So what do we need to know to break the chains of poverty in our lives?
    ",chains,obstacles,y,1,"restraints, limitations",,limitations,,,Corrected annotation to literal interpretation (changed to y)
187,"They arent ""killed by guns""...they are killed by each other in a lifestyle that embraces both random and focused acts of violence.","Guns are the tools...gangs are the 'problem'...and OH it would be just SO ****ing inspirational to see those that purport to 'care' actually going after the 'problem' instead of repeatedly and mindlessly targeting firearms in the hands of law abiding citizens.
      ",tools,guns,n,0,objects,,objects,implements,,Corrected annotation to literal interpretation (changed to n)
188,•,"Washington, in defiance of the NRA, passed an initiative to require criminal and mental-health checks on gun buyers.
      ",defiance,opposition,y,1,opposition,,,,Not sure this usage should be considered metaphorical,
189,[EMPTY],"A query was run to derive a sub-sample of federal poverty participants from these zip codes, resulting in n=1,916 participants.
    ",participants,not metaphorical,y,1,N/A,not that metaphorical,,,,
190,[EMPTY],"They live in bondage to the NRA, these cowards, and if just one of them escapes the slavery and lives to tell the tale, others will follow. - See more at: http://www.thomhartmann.com/forum/2013/04/nra-may-have-won-temporary-victory-it-can%E2%80%99t-keep-winning-forever#sthash.rL9uS0BJ.dpuf
    ",bondage,influence,n,0,obedience,,obedience,,,
191,[EMPTY],"The NGO experiences establish that there is a strong latent demand for education even among the poorest and a responsive education system can overcome the obstacle of poverty to bring children into schools.
    ",obstacle,poverty,n,0,limitations,,limitations,,,Corrected annotation to literal interpretation (changed to n)
192,"The billionaire founder of Bloomberg L.P., who spent $74 million of his own money in 2001 to gain an office few thought he could win and $85 million more in 2005 to keep it, Bloomberg was a novice politician who took office just four months after the 2001 terror attack and oversaw an economic recovery that has included a boom in jobs, tourism and construction, The New York Times said last year.","In his second term, he has led a high profile national campaign to stem the flow of illegal guns and a local effort to reduce the stubbornly high rate of poverty, which affects one in five residents of a city of vast wealth.
      ",flow,distribution,y,1,distribution,,,,,
193,"Yesimade a mistake,qe didnt cause Japan inflation,it was used to combat extreme deflation caused by their housing Bubblecrashing in 1989.","Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
    ",wars,trade conflicts or disputes,y,1,disagreements,,disagreements,,,
194,"This event has ever since become a boomerang against the capitalists, and the Haymarket Martyrs belong to the international proletariat and the universal commemoration of May Day!","Today, there are reasons to fear that this ""terrorist card"" will be played again.
      ",card,strategy,y,1,strategy,,,,,
195,"Managing your money is not necessarily funit takes time and lets face it, budgeting can feel like eating your peas.","And for a generation thats on the go, money management tools have been a ball and chain.
      ",tools,not metaphorical,n,0,methods,not that metaphorical,methods,,Not strongly metaphorical,
196,"In theory and in practice, economic and political freedoms reinforce one another.","Political philosophers from Aristotle to Samuel Huntington have noted that economic development and an expanding middle class can provide more fertile ground for democracy.
      ",ground,conditions,y,1,conditions,,,,,
197,"Even before Brown's withdrawal, only six parishes had not been affected by a withdrawal.","Schedler said its unclear why so many candidates are withdrawing from this election, but part of the reason could be the size of the election itself.
      ",size,scope,y,1,scale,not that metaphorical,scale,magnitude,Not strongly metaphorical,
198,Multimedia,"Wealth wizards on the art of investing
      ",wizards,experts,y,1,experts,,,,,
199,[EMPTY],"On every continent in every age men have sought escape from poverty’s oppression.
    ",oppression,stress,y,1,situation,,situation,negative situation,,
200,"Reverse The Curse Micro exists to help hardworking entrepreneurs enrich their lives and lift themselves out of poverty in Chicago and developing nations, specifically the Dominican Republic and Haiti, by giving them dairy goats and technical training to start their own business. We are also providing those in need with technical training and seeds to start their own vegetable gardens.","Founded by Jeremy Freeman, Reverse The Curse is an impact driven company that began on April 1, 2011. What started as a fun campaign to cure the Billy Goat Curse on the Chicago Cubs has quickly morphed into something much larger; a movement to reverse the curse of poverty and hunger both in Chicago and beyond. We have worked with global companies including Starbucks and State Farm to grow our herd and impact entrepreneurs in Chicago and around the world. We have been featured on Oprah, World Vision Magazine, ESPN Magazine, TMZ, WGN News, CCLTV, World Breaking News.
      ",curse,condition,y,1,condition,,,,,
201,Order without Force,"We work towards the establishment of increasingly civil police through the aggregate alleviation of guns amongst citizens, the formation of domestic police patrols without weapons, and the formation of specialised domestic police units with weapons.
      ",alleviation,removal,,116,,,,,,
202,"Since the Supreme Court announcement Thursday, the number of gun-related muggings, robberies, and murders has increased 10,000%, disproving once and for all the National Rifle Association's trite assertion that ""guns don't kill people, people kill people"".","As the victims of America's new gun-violence tsunami would testify (if they were still alive) - it's definitely the guns.""
      ",tsunami,increase,,0,,,,,,
203,"Micro Niche Finder A Class Leading Keyword Research Tool That Lets You Find High Traffic, Low Competition Google Keywords MicroNichesFinder.com","Successfully targeting niche markets can prove to be a passport to wealth online.
      ",passport,opportunity,,0,,,,,,
204,The youth of today need ethics taught to them.,"The rising sun of democracy is the youth of today.
      ",sun,future,,0,,,,,,
205,"October 22, 2009 03:11 PM Hide Post","State is the ship - government is the captain and his officers.
      ",captain,government procedures,,0,,,,,,
206,In other words Israeli ‘fears’ are at once authentic and offer a useful dilatory tactic.,"I would also emphasize the relevance of the situation on the ground: Israel as a prosperous powerhouse and fully sovereign state as contrasted to Hamas, which is the governing authority of the tiny, blockaded, and totally vulnerable Gaza Strip whose impoverished population has been deliberately kept by Israel at a subsistence level and continuously subjected to Israeli state terror at least since 1967.</p> <p>&nbsp;</p> <p>A salient issue in this context is whether it is reasonable and desirable to insist that Hamas adopt a new covenant as a precondition to its acceptance as a legitimate political actor.
      ",powerhouse,country,,0,,,,,,
207,The evidence does not support this view.,"Of course, whomever was responsible for 911 should be brought to justice, as individuals, for isn't the emphasis on individuality supposed to be a tenet of our democracy religion?
      ",religion,system,,0,,,,,,
208,"Monarchy, he added, was like a stately ship capable of sailing the seven seas; but fire one cannonball at a precise spot and it would sink like a rock (this was especially true of the galleons of his day).","Today, democracy's antagonist is not monarchy but plutocracy, which is government by the wealthy (and their corporations).
      ",antagonist,plutocracy,,0,,,,,,
209,"The main force driving down smoking is a series of steep increases in tobacco taxes, said Dr. Thomas R. Frieden, the city health commissioner.","""One of our staff said that the tax is the gift that keeps on giving,"" he said.
      ",gift,bills,,0,,,,,,
210,"That's why he's making average citizens and their guns look criminal, all the while, masking the real bloody massacres that his administration partakes in.","Mexico's upsurge in violence linked to the upsurge in government guns The recent upsurge in violence in Mexico is stemming from the government's injection of guns into the drug war.
      ",injection,sudden increase,,0,,,,,,
211,On the other when you have a gun at home it is quite easy to commit a murder before your emotions are back to normal.,"You really think the act of MURDER hasn't been around since before the dawn of guns?
      ",dawn,invension,,0,,,,,,
212,[EMPTY],"Favorite Favorited 11:20 PM - 14 Oct 2013 LooseStrife ‏@powderkeig Oct 14 @briggsay I haven't heard the news that you have but any longstanding institution with a well-formed bureaucracy is a refuge 4 said persons
      ",refuge,job,,0,,,,,,
213,"As a ""swing"" voter who has voted for every major party in Canada, I have to say I'm pleased to see a Prime Minister with personal integrity for the first time in at least 30 years.","This does not mean I AGREE with every single decision of the Harper government.
      ",decision,policy,,0,,,,,,
214,[EMPTY],"If democracy is a painting created by its own audience, democracy without transparency is that audience blindfolded — trusting and hoping and not really knowing if they are having democracy at all. - See more at: http://blackboxvoting.org/reports/transparency/#sthash.CX2adUUr.dpuf
    ",painting,democracy,,0,,,,,,
215,Effective rate of protection,"A measure of the protection provided to an industry by the entire structure of tariffs, taking into account the effects of tariffs on inputs as well as on outputs.
      ",structure,System,,0,,,,,,
216,"We are suffering from a crisis of confidence in government these days, and our local democratic republic is not immune.","The most prominent manifestation of this government gloom is the amount of vacancies on local committees and uncontested Town Meeting seats - the lack of confidence by Falmouthites that their participation in civic affairs can make a difference.
      ",gloom,dissatisfaction,,0,,,,,,
217,"First, it persuades downscale, culturally-conservative whites that the party really, really doesn’t have their interests and values at heart.","Second, it does win the G.O.P. a second look from some Hispanic voters — but because racial wealth gaps make those voters even more economically anxious than whites with similar incomes, they don’t see any reason to actually start voting for a party that doesn’t have an economic agenda beyond austerity and entitlement reform.
      ",gaps,differences,,0,,,,,,
218,Some congressmen ducked for cover in their own hometowns.,"Others looked like deer caught in democracy’s headlights.
      ",headlights,surprise,,0,,,,,,
219,A burglar doesn't want a gun-at that point the offence become armed robbery or worse and a very significant custodial sentence looms.,"All most burglars want is your phone, laptop and any handy cash - they don't need the aggravation of guns anymore than the householder does.
      ",aggravation,I couldn't come up with a target.,,0,,,,,,
220,Called into question is not only the legality of NSA’s bulk collection of American phone data but also it’s efficacy.,"All Americans have reason be jealous of their constitutional rights, perhaps never more than in the present climate of government, where an almost Nixonian obsession with secrecy has led to the interception of journalist’s phone calls and emails and the IRS has been used to scrutinize political organizations and nonprofits.
      ",climate,situation,,0,,,,,,
221,Posts: 912 offline,"Login to Send PM I understand your anger completely but comparing Brazil's democracy to ours is far fetched in terms of freedoms we enjoy here.Brazil I would classify as a dictatorship despite their packaging of democracy and would avoid going there at all costs.I'm sorry if my reply is in contradiction to forum rules because it is somewhat political in nature.
      ",packaging,appearance,,0,,,,,,
222,"To be clear, we understand that the Bolivian state continuously experiences distinct growing pains.","This democracy is not a flawless apparatus, but many Bolivians are quick to tell you that the present moment is the most democratic in their nation's history.
      ",apparatus,government,,0,,,,,,
223,To: Mozilla,"The tax gestapo is coming.
      ",gestapo,tax collectors or IRS agents,,0,,,,,,
224,[EMPTY],"Dignity is a powerful photographic exhibit intended to provide a portrayal of poverty in Egypt, India, Macedonia, Mexico, and Nigeria.
    ",portrayal,not metaphorical,,0,,,,,,
225,"In that case, then I would interpret the comment you quote that homosexuality and totalitarian society belong together in this way.","The creation of the idea of homosexuality derives from both the institutionalization (the death freeze of bureaucracy) of social relations, and the implicit authoritarian nature of such institutionalizations.
      ",freeze,stagnation,,0,,,,,,
226,[EMPTY],"It will advance the architecture of democracy.
    ",architecture,constitution,,0,,,,,,
227,"Because of the NCBS clawback, families with children on social assistance are as poor as ever.","This is of great concern in child welfare because poverty debilitates families.
      ",debilitates,I couldn't come up with a target.,,0,,,,,,
228,A city with a heart but not much of a soul.,"At least everything works here, but the city chuckles fatly under a carapace of wealth and privilege.
      ",carapace,illusion,,0,,,,,,
229,Author Michael Gill,"For the second time in three weeks Loren Naji Studio Gallery in Ohio City has been shut down by the manipulation of bureaucracy.
      ",manipulation,control,,0,,,,,,
230,simontmnon 31 Mar 2008 at 4:13 pm 5,"I’ve read both Clausewitz and Van Creveld, and for once I have to agree with Mycophagist above - Clausewitz very much sees war in terms of his classic people-government-army trinity, with defined roles in a way that I think was slightly anachronistic even for his own time - Clausewitzian typology fits perfectly to eg the War of Spanish Succession, and to some 20th century conflicts, notably WW1, but the French Revolutionary wars were motivated partly by a genuine popular fervour that I think was more than merely a tool of the French Revolutionary government.
      ",tool,genuine popular furvor,,0,,,,,,
231,When was the last time you paused to stare at night time?,"Did you know that there is at least one person in your life who will jump in front of a hail of bullets for you, without your asking.
      ",hail,barrage,,0,,,,,,
232,"11-18-2002, 11:36 AM","Every two years I'm an election widow.
      ",widow,someone ignored or neglected,,0,,,,,,
233,"You pop up a totally BS chart that incudes ""ineterest and cost of past wars"" as defense spending.","What of the cost of the ongoing and past ""wars"" on poverty and drugs?
      ",wars,efforts,,0,,,,,,
234,It could be crippled by labor union strikes.,"On and on from multiple directions, the painful assaults fly and attack businesses trapped in the government cage.
      ",cage,bureaucracy,,0,,,,,,
235,"Known as Constitution Day, this day marks the occasion that delegates ratified the United States Constitution.","Today, United States citizens observe this holiday to celebrate the legacy of the Constitution and the birth of government.
      ",birth,creation,,0,,,,,,
236,"Severe marital fissures (rash; hives; itching; amoxicillin 875mg breathing; evidence in the chest; nourishing of the mouth, face, lips, or tongue; impending hoarseness); rifabutin in the hepatitis of antidepressant produced; confusion; tartar urine; depression; fast, slow, or perineal heartbeat; fever, chills, or unimaginable throat; hallucinations; hydrophobic or radiologic catechol or warranty pain; subpar bruising or bleeding; matching of the potatoes or skin.","The green party of canada does optically have managerial amoxicillin 875mg in parliament but hearts a first tumour of the lovely vote.
      ",tumour,portion,,0,,,,,,
237,"Single, no kids, no mortgage, no car loans, boat load of student loans.","Tax sorcery is a mystery to me. I file 3.6% on AZ's withholdings.
      ",sorcery,complexity,,0,,,,,,
238,FAX: (202) 646-5199; email: info@judicialwatch.org google: JudicialWatch and freedomwatchusa See website: http://www.haasstrep68.com/ An O.T. of Wisconsin wrote…,"“The government would push you into a national ID in a heartbeat but it might be self defeating for the Deemers and their idea of vote early and often to make up that voter cushion they need.
      ",cushion,margin,,0,,,,,,
239,"You just generate an illegal, untraceable gun industry run by criminals.","The genie of guns is going to be impossible to cram back into the bottle.
      ",genie,problem,,0,,,,,,
240,Rep. Peter King (R-N.Y.),"Our government is a disaster because of a small group of Republicans in the House of Representatives. I'm not talking about the group of Republicans you might think. Yes, there are 30 to 50 arch conservatives in the House who have been insistent they won't reopen the government without putting a major dent in Obamacare. These people are not the key problem. They are only relevant because so-called ""reasonable"" or ""realistic"" Republicans allow them to be. The most dangerous group in Congress is moderate Republicans, many from the northeast, who could reopen the government and break extremists' grip on their caucus' agenda, but choose not to.
    ",disaster,government shutdown,,0,,,,,,
241,[10][11][12],"The appointed compromisarios, met in Caspe, to decide who had to be the next king were:[13][14] The majority of historians agreed with the narration of the election made by the historian Jerónimo Zurita about the Compromise.
      ",narration,account,,0,,,,,,
242,"This administration has treated statecraft and diplomacy as if it were a gift to our opponents, a sign of weakness.","The United States has been successful in both Democratic and Republican administrations over the years when we have drawn the diplomatic arrow out of our quiver here.
      ",arrow,option,,0,,,,,,
243,"Their case study of Tanzania found that the PRSP resulted from a partnership between a core group of players (an 'iron triangle' of donors, state and non-state actors forming a ""transnational policy elite"") who share a narrow social and ideological background.","This includes lifestyle and vocabulary, but also a commitment to ""'managerialism' (a faith in the expertise of the professionalized 'new public manager' to achieve optimal policy outcomes) and 'budgetism' (a faith that the optimal allocation of public resources through official budgetary mechanisms constitutes the government's main tool for addressing social issues)"".
      ",tool,method,,0,,,,,,
244,[EMPTY],"Modern Liberalism's many accomplishments, like the war on poverty that ended with the unconditional surrender of poverty, are just intimidating.
    ",surrender,elimination,,0,,,,,,
245,The incomes of richer households have increased relative to those of the middle class and poorer households.,"- Likewise, during the same period, the income gap between the top and bottom 10 per cent of wage earners increased in 70 per cent of the countries for which data are available.
      ",gap,difference,,0,,,,,,
246,"In fact, cleverly leveraging democracy rather than the traditional pure, unilateral power grab would be a new global model for despot-like power seekers.","Seeking to be seen as pursuing a democratic approach to indefinite power, and hiding behind a democracy veneer, Mr. Putin has but two choices:
      ",veneer,appearance,,0,,,,,,
247,Isn't that stuff supped to be secured.,"With all the billions wasted on government slush you couldn't afford to pay one minimum wage flunky to watch the ___ing truck!
      ",slush,funds,,0,,,,,,
